,#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
0,1,Chesterfield,27,22,2,3,68,34,34,68,
1,2,Bromley,29,16,9,4,51,31,20,57,
2,3,Barnet,28,17,4,7,57,40,17,55,
3,4,Solihull Moors,27,13,7,7,43,37,6,46,
4,5,Altrincham,27,11,10,6,49,38,11,43,
5,6,Oldham Athletic,27,11,9,7,43,38,5,42,
6,7,Rochdale,28,11,8,9,46,39,7,41,
7,8,Gateshead,27,11,7,9,50,39,11,40,
8,9,FC Halifax,27,10,10,7,30,27,3,40,
9,10,Aldershot Town,27,12,4,11,47,51,-4,40,
10,11,Eastleigh,27,10,7,10,46,50,-4,37,
11,12,Southend United,27,13,5,9,44,28,16,34,
12,13,Hartlepool United,29,10,4,15,45,55,-10,34,
13,14,Wealdstone,25,9,6,10,34,36,-2,33,
14,15,Boreham Wood,28,7,12,9,35,44,-9,33,
15,16,Maidenhead United,27,7,11,9,28,35,-7,32,
16,17,Dorking Wanderers,27,9,4,14,31,45,-14,31,
17,18,Dagenham & Redbridge,27,8,6,13,34,39,-5,30,
18,19,York City,27,6,12,9,36,44,-8,30,
19,20,Woking,27,7,6,14,28,37,-9,27,
20,21,Ebbsfleet United,29,7,6,16,37,55,-18,27,
21,22,AFC Fylde,27,6,7,14,39,50,-11,25,
22,23,Oxford City,28,6,6,16,40,54,-14,24,
23,24,Kidderminster Harriers,29,5,8,16,24,39,-15,23,
